Institution,Location,Global_Region,World Rank,World Rank1,Global_Percentile(%),National Rank,Employability Rank,Research Rank,Score,Score_Normalized
North Dakota State University,USA,America,1039 Top 4.9%,1039,4.9,205,964.0,1009.0,70.4,0.1243
Wrocław University of Science and Technology,Poland,Europe,1040 Top 4.9%,1040,4.9,13,923.0,996.0,70.4,0.1243
University of Extremadura,Spain,Europe,1041 Top 4.9%,1041,4.9,35,1081.8,990.0,70.4,0.1243
American University,USA,America,1042 Top 4.9%,1042,4.9,206,359.0,1047.0,70.4,0.1243
Guangxi Medical University,China,Asia,1043 Top 4.9%,1043,4.9,188,1084.81,991.0,70.4,0.1243
Anhui Agricultural University,China,Asia,1044 Top 4.9%,1044,4.9,189,1078.03,992.0,70.4,0.1243
Ulster University,United Kingdom,Europe,1045 Top 4.9%,1045,4.9,63,1425.0,995.0,70.4,0.1243
Shanghai University of Traditional Chinese Medicine,China,Asia,1046 Top 4.9%,1046,4.9,190,1041.59,994.0,70.4,0.1243
Oberlin College,USA,America,1047 Top 4.9%,1047,4.9,207,77.98,966.5,70.3,0.1213
Sofia University,Bulgaria,Europe,1048 Top 4.9%,1048,4.9,1,1351.14,1051.0,70.3,0.1213
Miguel Hernández University of Elche,Spain,Europe,1049 Top 4.9%,1049,4.9,36,1128.27,998.0,70.3,0.1213
Florida Atlantic University,USA,America,1050 Top 4.9%,1050,4.9,208,909.85,1000.0,70.3,0.1213
Benemérita Autonomous University of Puebla,Mexico,America,1051 Top 4.9%,1051,4.9,5,1357.96,1001.0,70.3,0.1213
Bucknell University,USA,America,1052 Top 5%,1052,5.0,209,51.0,966.5,70.3,0.1213
Paracelsus Medical University,Austria,Europe,1053 Top 5%,1053,5.0,12,1173.55,1002.0,70.3,0.1213
Czech University of Life Sciences Prague,Czech Republic,Europe,1054 Top 5%,1054,5.0,5,1254.8,1005.0,70.3,0.1213
Tôn Đức Thắng University,Vietnam,Asia,1055 Top 5%,1055,5.0,2,1255.41,1007.0,70.3,0.1213
Copenhagen Business School,Denmark,Europe,1056 Top 5%,1056,5.0,6,191.0,1157.0,70.3,0.1213
Guangzhou University of Chinese Medicine,China,Asia,1057 Top 5%,1057,5.0,191,1237.91,1010.0,70.3,0.1213
Okinawa Institute of Science and Technology,Japan,Asia,1058 Top 5%,1058,5.0,35,495.12,1190.0,70.3,0.1213
Kazan Federal University,Russia,Europe,1059 Top 5%,1059,5.0,18,1728.0,1011.0,70.3,0.1213
Postgraduate Institute of Medical Education and Research,India,Asia,1060 Top 5%,1060,5.0,20,1556.2,1012.0,70.3,0.1213
University of Thessaly,Greece,Europe,1061 Top 5%,1061,5.0,7,1303.11,1013.0,70.3,0.1213
University of Ibadan,Nigeria,Africa,1062 Top 5%,1062,5.0,1,1382.06,1014.0,70.3,0.1213
Çukurova University,Turkey,Asia,1063 Top 5%,1063,5.0,10,1497.0,1015.0,70.3,0.1213
"Asia University, Taiwan",Taiwan,Asia,1064 Top 5%,1064,5.0,13,1314.81,1016.0,70.3,0.1213
Nottingham Trent University,United Kingdom,Europe,1065 Top 5%,1065,5.0,64,737.0,1031.0,70.2,0.1183
Xuzhou Medical University,China,Asia,1066 Top 5%,1066,5.0,192,1444.96,1017.0,70.2,0.1183
University of Cádiz,Spain,Europe,1067 Top 5%,1067,5.0,37,1260.17,1018.0,70.2,0.1183
Zagazig University,Egypt,Africa,1068 Top 5%,1068,5.0,6,1244.95,1019.0,70.2,0.1183
Carol Davila University of Medicine and Pharmacy,Romania,Europe,1069 Top 5%,1069,5.0,3,1259.67,1020.0,70.2,0.1183
Southern Illinois University Carbondale,USA,America,1070 Top 5%,1070,5.0,210,1661.0,1021.0,70.2,0.1183
Liaocheng University,China,Asia,1071 Top 5%,1071,5.0,193,1446.3,1022.0,70.2,0.1183
Gifu University,Japan,Asia,1072 Top 5%,1072,5.0,36,645.0,1037.0,70.2,0.1183
Humanitas University,Italy,Europe,1073 Top 5%,1073,5.0,48,1297.99,1023.0,70.2,0.1183
Luleå University of Technology,Sweden,Europe,1074 Top 5.1%,1074,5.1,13,1337.63,1024.0,70.2,0.1183
University of Texas at El Paso,USA,America,1075 Top 5.1%,1075,5.1,211,963.0,1030.0,70.2,0.1183
University of Akron,USA,America,1076 Top 5.1%,1076,5.1,212,787.0,1033.0,70.2,0.1183
Henan Polytechnic University,China,Asia,1077 Top 5.1%,1077,5.1,194,1267.0,1027.0,70.2,0.1183
Sechenov University,Russia,Europe,1078 Top 5.1%,1078,5.1,19,1660.0,1026.0,70.2,0.1183
Chengdu University of Technology,China,Asia,1079 Top 5.1%,1079,5.1,195,1564.0,1028.0,70.2,0.1183
Ramon Llull University,Spain,Europe,1080 Top 5.1%,1080,5.1,38,244.0,1155.0,70.2,0.1183
Skolkovo Institute of Science and Technology,Russia,Europe,1081 Top 5.1%,1081,5.1,20,1403.57,1029.0,70.2,0.1183
Jiangsu Normal University,China,Asia,1082 Top 5.1%,1082,5.1,196,1522.0,1032.0,70.2,0.1183
Cheung Kong Graduate School of Business,China,Asia,1083 Top 5.1%,1083,5.1,197,33.0,966.5,70.1,0.1154
University of Kaiserslautern-Landau,Germany,Europe,1084 Top 5.1%,1084,5.1,52,1348.0,1034.0,70.1,0.1154
Marquette University,USA,America,1085 Top 5.1%,1085,5.1,213,235.0,1142.0,70.1,0.1154
University of Mannheim,Germany,Europe,1086 Top 5.1%,1086,5.1,53,717.0,1045.0,70.1,0.1154
Rochester Institute of Technology,USA,America,1087 Top 5.1%,1087,5.1,214,1004.0,1039.0,70.1,0.1154
Heilongjiang University,China,Asia,1088 Top 5.1%,1088,5.1,198,1579.0,1035.0,70.1,0.1154
University of Naples Parthenope,Italy,Europe,1089 Top 5.1%,1089,5.1,49,1120.94,1036.0,70.1,0.1154
Federal University of Juiz de Fora,Brazil,America,1090 Top 5.1%,1090,5.1,23,1623.0,1040.0,70.1,0.1154
Ural Federal University,Russia,Europe,1091 Top 5.1%,1091,5.1,21,1287.0,1042.0,70.1,0.1154
University of Sharjah,United Arab Emirates,Asia,1092 Top 5.1%,1092,5.1,3,1354.13,1041.0,70.1,0.1154
SUNY Upstate Medical University,USA,America,1093 Top 5.1%,1093,5.1,215,837.67,1043.0,70.1,0.1154
Bilkent University,Turkey,Asia,1094 Top 5.1%,1094,5.1,11,1014.0,1049.0,70.1,0.1154
"Indian Institute of Science Education and Research, Pune",India,Asia,1095 Top 5.2%,1095,5.2,21,1270.52,1044.0,70.1,0.1154
Gazi University,Turkey,Asia,1096 Top 5.2%,1096,5.2,12,1210.0,1048.0,70.1,0.1154
Qingdao Agricultural University,China,Asia,1097 Top 5.2%,1097,5.2,199,1219.47,1046.0,70.1,0.1154
University of New Brunswick,Canada,America,1098 Top 5.2%,1098,5.2,28,813.0,1061.0,70.1,0.1154
Brazilian Center for Research in Physics (CBPF),Brazil,America,1099 Top 5.2%,1099,5.2,24,1214.74,1050.0,70.1,0.1154
National Taiwan Normal University,Taiwan,Asia,1100 Top 5.2%,1100,5.2,14,1326.0,1054.0,70.1,0.1154
Guangxi Normal University,China,Asia,1101 Top 5.2%,1101,5.2,200,1162.55,1053.0,70.0,0.1124
University of Mons,Belgium,Europe,1102 Top 5.2%,1102,5.2,9,1231.6,1055.0,70.0,0.1124
Anhui Normal University,China,Asia,1103 Top 5.2%,1103,5.2,201,986.81,1057.0,70.0,0.1124
University of Hyogo,Japan,Asia,1104 Top 5.2%,1104,5.2,37,242.7,1727.0,70.0,0.1124
Victoria University,Australia,Oceania,1105 Top 5.2%,1105,5.2,29,1117.79,1058.0,70.0,0.1124
Ivane Javakhishvili Tbilisi State University,Georgia,Asia,1106 Top 5.2%,1106,5.2,1,1640.6,1059.0,70.0,0.1124
University of Toyama,Japan,Asia,1107 Top 5.2%,1107,5.2,38,727.0,1072.0,70.0,0.1124
Soonchunhyang University,South Korea,Asia,1108 Top 5.2%,1108,5.2,34,1048.05,1060.0,70.0,0.1124
University of the Punjab,Pakistan,Asia,1109 Top 5.2%,1109,5.2,4,1753.0,1062.0,70.0,0.1124
INSA Toulouse,France,Europe,1110 Top 5.2%,1110,5.2,47,697.0,1079.0,70.0,0.1124
Medical University of Gdańsk,Poland,Europe,1111 Top 5.2%,1111,5.2,14,1165.53,1063.0,70.0,0.1124
Charles Darwin University,Australia,Oceania,1112 Top 5.2%,1112,5.2,30,1103.69,1064.0,70.0,0.1124
USI - University of Italian-speaking Switzerland,Switzerland,Europe,1113 Top 5.2%,1113,5.2,11,1082.96,1066.0,70.0,0.1124
University of Agriculture Faisalabad,Pakistan,Asia,1114 Top 5.2%,1114,5.2,5,1635.69,1067.0,70.0,0.1124
National University of Sciences and Technology,Pakistan,Asia,1115 Top 5.2%,1115,5.2,6,1385.15,1069.0,70.0,0.1124
New York University Abu Dhabi,United Arab Emirates,Asia,1116 Top 5.2%,1116,5.2,4,1554.64,1070.0,70.0,0.1124
Fordham University,USA,America,1117 Top 5.3%,1117,5.3,216,252.0,1172.0,70.0,0.1124
Xi'an University of Architecture and Technology,China,Asia,1118 Top 5.3%,1118,5.3,202,1012.0,1076.0,70.0,0.1124
Federal University of Goiás,Brazil,America,1119 Top 5.3%,1119,5.3,25,1230.85,1071.0,69.9,0.1095
Worcester Polytechnic Institute,USA,America,1120 Top 5.3%,1120,5.3,217,178.0,1250.0,69.9,0.1095
University of Novi Sad,Serbia,Europe,1121 Top 5.3%,1121,5.3,2,1621.56,1073.0,69.9,0.1095
Federal University of ABC,Brazil,America,1122 Top 5.3%,1122,5.3,26,1184.56,1074.0,69.9,0.1095
National Taipei University of Technology,Taiwan,Asia,1123 Top 5.3%,1123,5.3,15,641.0,1099.0,69.9,0.1095
"University of New England, Australia",Australia,Oceania,1124 Top 5.3%,1124,5.3,31,1302.0,1077.0,69.9,0.1095
University of South Bohemia,Czech Republic,Europe,1125 Top 5.3%,1125,5.3,6,1397.76,1075.0,69.9,0.1095
Ehime University,Japan,Asia,1126 Top 5.3%,1126,5.3,39,1248.0,1080.0,69.9,0.1095
Jichi Medical University,Japan,Asia,1127 Top 5.3%,1127,5.3,40,1110.41,1078.0,69.9,0.1095
Cadi Ayyad University,Morocco,Africa,1128 Top 5.3%,1128,5.3,2,1620.44,1081.0,69.9,0.1095
Andrés Bello University,Chile,America,1129 Top 5.3%,1129,5.3,5,1731.0,1082.0,69.9,0.1095
Yantai University,China,Asia,1130 Top 5.3%,1130,5.3,203,1083.94,1083.0,69.9,0.1095
Manipal Academy of Higher Education,India,Asia,1131 Top 5.3%,1131,5.3,22,1133.0,1087.0,69.9,0.1095
Colgate University,USA,America,1132 Top 5.3%,1132,5.3,218,54.0,966.5,69.9,0.1095
Guilin University of Electronic Technology,China,Asia,1133 Top 5.3%,1133,5.3,204,1081.99,1084.0,69.9,0.1095
Chengdu University,China,Asia,1134 Top 5.3%,1134,5.3,205,1059.62,1085.0,69.9,0.1095
University of Canberra,Australia,Oceania,1135 Top 5.3%,1135,5.3,32,1607.0,1086.0,69.9,0.1095
Tomsk Polytechnic University,Russia,Europe,1136 Top 5.3%,1136,5.3,22,1220.87,1088.0,69.9,0.1095
University of Regina,Canada,America,1137 Top 5.3%,1137,5.3,29,1625.0,1089.0,69.9,0.1095
Mario Negri Institute for Pharmacological Research,Italy,Europe,1138 Top 5.4%,1138,5.4,50,1114.15,1091.0,69.8,0.1065
Daegu Gyeongbuk Institute of Science and Technology,South Korea,Asia,1139 Top 5.4%,1139,5.4,35,1193.74,1092.0,69.8,0.1065
University of Kassel,Germany,Europe,1140 Top 5.4%,1140,5.4,54,1115.8,1093.0,69.8,0.1065
University of the Free State,South Africa,Africa,1141 Top 5.4%,1141,5.4,8,1095.69,1094.0,69.8,0.1065
University of Sfax,Tunisia,Africa,1142 Top 5.4%,1142,5.4,2,1528.26,1095.0,69.8,0.1065
Shahid Beheshti University,Iran,Asia,1143 Top 5.4%,1143,5.4,14,808.76,1096.0,69.8,0.1065
Liverpool School of Tropical Medicine,United Kingdom,Europe,1144 Top 5.4%,1144,5.4,65,1132.09,1097.0,69.8,0.1065
Ritsumeikan University,Japan,Asia,1145 Top 5.4%,1145,5.4,41,662.0,1109.0,69.8,0.1065
Shanxi Medical University,China,Asia,1146 Top 5.4%,1146,5.4,206,1077.51,1100.0,69.8,0.1065
University of Massachusetts Lowell,USA,America,1147 Top 5.4%,1147,5.4,219,814.0,1105.0,69.8,0.1065
Coventry University,United Kingdom,Europe,1148 Top 5.4%,1148,5.4,66,1188.0,1101.0,69.8,0.1065
Tokyo University of Agriculture and Technology,Japan,Asia,1149 Top 5.4%,1149,5.4,42,905.88,1102.0,69.8,0.1065
Tokyo Women's Medical University,Japan,Asia,1150 Top 5.4%,1150,5.4,43,902.3,1103.0,69.8,0.1065
Dublin City University,Ireland,Europe,1151 Top 5.4%,1151,5.4,7,713.0,1119.0,69.8,0.1065
Sogang University,South Korea,Asia,1152 Top 5.4%,1152,5.4,36,448.0,1139.0,69.8,0.1065
Tanta University,Egypt,Africa,1153 Top 5.4%,1153,5.4,7,905.4,1107.0,69.8,0.1065
Hassan II University of Casablanca,Morocco,Africa,1154 Top 5.4%,1154,5.4,3,1488.08,1108.0,69.8,0.1065
University of Bucharest,Romania,Europe,1155 Top 5.4%,1155,5.4,4,1443.08,1118.0,69.8,0.1065
University of Lleida,Spain,Europe,1156 Top 5.4%,1156,5.4,39,919.89,1110.0,69.8,0.1065
Tianjin University of Science and Technology,China,Asia,1157 Top 5.4%,1157,5.4,207,1521.0,1113.0,69.7,0.1036
Åbo Akademi University,Finland,Europe,1158 Top 5.4%,1158,5.4,9,1158.92,1111.0,69.7,0.1036
Charles Sturt University,Australia,Oceania,1159 Top 5.5%,1159,5.5,33,1359.0,1115.0,69.7,0.1036
Westlake University,China,Asia,1160 Top 5.5%,1160,5.5,208,1471.27,1112.0,69.7,0.1036
Medical University of Silesia,Poland,Europe,1161 Top 5.5%,1161,5.5,15,924.49,1114.0,69.7,0.1036
University of Hertfordshire,United Kingdom,Europe,1162 Top 5.5%,1162,5.5,67,1444.79,1116.0,69.7,0.1036
Mashhad University of Medical Sciences,Iran,Asia,1163 Top 5.5%,1163,5.5,15,922.87,1117.0,69.7,0.1036
Zhejiang Gongshang University,China,Asia,1164 Top 5.5%,1164,5.5,209,1413.0,1120.0,69.7,0.1036
Pepperdine University,USA,America,1165 Top 5.5%,1165,5.5,220,102.0,966.5,69.7,0.1036
Paderborn University,Germany,Europe,1166 Top 5.5%,1166,5.5,55,1508.0,1121.0,69.7,0.1036
Jadavpur University,India,Asia,1167 Top 5.5%,1167,5.5,23,1084.0,1124.0,69.7,0.1036
Northwest Normal University,China,Asia,1168 Top 5.5%,1168,5.5,210,1410.85,1122.0,69.7,0.1036
Pomona College,USA,America,1169 Top 5.5%,1169,5.5,221,1048.0,966.5,69.7,0.1036
Yıldız Technical University,Turkey,Asia,1170 Top 5.5%,1170,5.5,13,959.0,1126.0,69.7,0.1036
École nationale supérieure de chimie de Montpellier,France,Europe,1171 Top 5.5%,1171,5.5,48,1150.21,1123.0,69.7,0.1036
Dankook University,South Korea,Asia,1172 Top 5.5%,1172,5.5,37,1179.0,1125.0,69.7,0.1036
China Three Gorges University,China,Asia,1173 Top 5.5%,1173,5.5,211,1259.0,1127.0,69.7,0.1036
University of Calcutta,India,Asia,1174 Top 5.5%,1174,5.5,24,636.0,1261.0,69.7,0.1036
Babson College,USA,America,1175 Top 5.5%,1175,5.5,222,44.0,966.5,69.7,0.1036
Istanbul University-Cerrahpaşa,Turkey,Asia,1176 Top 5.5%,1176,5.5,14,939.28,1128.0,69.6,0.1006
Yamagata University,Japan,Asia,1177 Top 5.5%,1177,5.5,44,1120.79,1129.0,69.6,0.1006
Dongguan University of Technology,China,Asia,1178 Top 5.5%,1178,5.5,212,1177.44,1130.0,69.6,0.1006
Hunter College,USA,America,1179 Top 5.5%,1179,5.5,223,1403.0,1209.0,69.6,0.1006
University of Texas Rio Grande Valley,USA,America,1180 Top 5.5%,1180,5.5,224,1145.53,1131.0,69.6,0.1006
Toho University,Japan,Asia,1181 Top 5.6%,1181,5.6,45,1114.65,1132.0,69.6,0.1006
VetAgro Sup,France,Europe,1182 Top 5.6%,1182,5.6,49,1182.05,1133.0,69.6,0.1006
University of Salzburg,Austria,Europe,1183 Top 5.6%,1183,5.6,13,710.0,1147.0,69.6,0.1006
Sant'Anna School of Advanced Studies,Italy,Europe,1184 Top 5.6%,1184,5.6,51,1253.41,1134.0,69.6,0.1006
Gran Sasso Science Institute,Italy,Europe,1185 Top 5.6%,1185,5.6,52,1280.28,1135.0,69.6,0.1006
Pablo de Olavide University,Spain,Europe,1186 Top 5.6%,1186,5.6,40,1170.89,1136.0,69.6,0.1006
Pukyong National University,South Korea,Asia,1187 Top 5.6%,1187,5.6,38,1055.76,1137.0,69.6,0.1006
University of Ghana,Ghana,Africa,1188 Top 5.6%,1188,5.6,1,1733.0,1138.0,69.6,0.1006
University of Western Cape,South Africa,Africa,1189 Top 5.6%,1189,5.6,9,1197.72,1140.0,69.6,0.1006
University of North Carolina at Greensboro,USA,America,1190 Top 5.6%,1190,5.6,225,1159.79,1141.0,69.6,0.1006
University of Urbino,Italy,Europe,1191 Top 5.6%,1191,5.6,53,1322.0,1143.0,69.6,0.1006
Shanghai Ocean University,China,Asia,1192 Top 5.6%,1192,5.6,213,1110.45,1144.0,69.6,0.1006
King Khalid University,Saudi Arabia,Asia,1193 Top 5.6%,1193,5.6,5,1502.53,1145.0,69.6,0.1006
Sanford Burnham Prebys Medical Discovery Institute,USA,America,1194 Top 5.6%,1194,5.6,226,1153.11,1146.0,69.6,0.1006
Bournemouth University,United Kingdom,Europe,1195 Top 5.6%,1195,5.6,68,1645.0,1148.0,69.6,0.1006
Hamad Bin Khalifa University,Qatar,Asia,1196 Top 5.6%,1196,5.6,2,1477.94,1149.0,69.5,0.0976
Loma Linda University,USA,America,1197 Top 5.6%,1197,5.6,227,1098.57,1150.0,69.5,0.0976
V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences,Russia,Europe,1198 Top 5.6%,1198,5.6,23,351.3,966.5,69.5,0.0976
Khon Kaen University,Thailand,Asia,1199 Top 5.6%,1199,5.6,4,1459.41,1151.0,69.5,0.0976
Poznan University of Medical Sciences,Poland,Europe,1200 Top 5.6%,1200,5.6,16,1053.68,1152.0,69.5,0.0976
Inner Mongolia University,China,Asia,1201 Top 5.6%,1201,5.6,214,1108.83,1153.0,69.5,0.0976
United States Naval Academy,USA,America,1202 Top 5.7%,1202,5.7,228,169.0,1976.0,69.5,0.0976
Kagoshima University,Japan,Asia,1203 Top 5.7%,1203,5.7,46,888.0,1161.0,69.5,0.0976
Anhui University of Technology,China,Asia,1204 Top 5.7%,1204,5.7,215,906.0,1160.0,69.5,0.0976
Brno University of Technology,Czech Republic,Europe,1205 Top 5.7%,1205,5.7,7,1167.2,1154.0,69.5,0.0976
Dokuz Eylül University,Turkey,Asia,1206 Top 5.7%,1206,5.7,15,994.06,1156.0,69.5,0.0976
Anna University,India,Asia,1207 Top 5.7%,1207,5.7,25,1575.0,1158.0,69.5,0.0976
University of Waikato,New Zealand,Oceania,1208 Top 5.7%,1208,5.7,7,753.0,1169.0,69.5,0.0976
Shihezi University,China,Asia,1209 Top 5.7%,1209,5.7,216,1060.28,1159.0,69.5,0.0976
"University of Chemistry and Technology, Prague",Czech Republic,Europe,1210 Top 5.7%,1210,5.7,8,1406.23,1163.0,69.5,0.0976
Al-Azhar University,Egypt,Africa,1211 Top 5.7%,1211,5.7,8,1707.0,1164.0,69.5,0.0976
Tabriz University of Medical Sciences,Iran,Asia,1212 Top 5.7%,1212,5.7,16,1132.63,1165.0,69.5,0.0976
Creighton University,USA,America,1213 Top 5.7%,1213,5.7,229,983.98,1166.0,69.5,0.0976
University of Augsburg,Germany,Europe,1214 Top 5.7%,1214,5.7,56,1352.0,1167.0,69.5,0.0976
Teikyo University,Japan,Asia,1215 Top 5.7%,1215,5.7,47,1012.45,1168.0,69.5,0.0976
"Vietnam National University, Hanoi",Vietnam,Asia,1216 Top 5.7%,1216,5.7,3,1492.0,1171.0,69.4,0.0947
Singapore Management University,Singapore,Asia,1217 Top 5.7%,1217,5.7,4,1487.69,1170.0,69.4,0.0947
University of Pécs,Hungary,Europe,1218 Top 5.7%,1218,5.7,6,1366.93,1173.0,69.4,0.0947
Lanzhou University of Technology,China,Asia,1219 Top 5.7%,1219,5.7,217,1109.98,1174.0,69.4,0.0947
University of Maribor,Slovenia,Europe,1220 Top 5.7%,1220,5.7,2,1498.1,1175.0,69.4,0.0947
Gunma University,Japan,Asia,1221 Top 5.7%,1221,5.7,48,1030.91,1176.0,69.4,0.0947
University of Gdańsk,Poland,Europe,1222 Top 5.7%,1222,5.7,17,994.0,1181.0,69.4,0.0947
"University of the West of England, Bristol",United Kingdom,Europe,1223 Top 5.7%,1223,5.7,69,1315.48,1178.0,69.4,0.0947
University of South Africa,South Africa,Africa,1224 Top 5.8%,1224,5.8,10,973.0,1184.0,69.4,0.0947
China Jiliang University,China,Asia,1225 Top 5.8%,1225,5.8,218,1172.95,1179.0,69.4,0.0947
Prince of Songkla University,Thailand,Asia,1226 Top 5.8%,1226,5.8,5,1539.88,1180.0,69.4,0.0947
Bohai University,China,Asia,1227 Top 5.8%,1227,5.8,219,1301.0,1182.0,69.4,0.0947
Shiraz University of Medical Sciences,Iran,Asia,1228 Top 5.8%,1228,5.8,17,1009.66,1183.0,69.4,0.0947
Kyoto Prefectural University of Medicine,Japan,Asia,1229 Top 5.8%,1229,5.8,49,1116.72,1185.0,69.4,0.0947
Fujita Health University,Japan,Asia,1230 Top 5.8%,1230,5.8,50,1160.0,1188.0,69.4,0.0947
University of Upper Alsace,France,Europe,1231 Top 5.8%,1231,5.8,50,1157.12,1186.0,69.4,0.0947
University of Lincoln,United Kingdom,Europe,1232 Top 5.8%,1232,5.8,70,1305.0,1187.0,69.4,0.0947
North University of China,China,Asia,1233 Top 5.8%,1233,5.8,220,1206.4,1189.0,69.4,0.0947
Thapar Institute of Engineering and Technology,India,Asia,1234 Top 5.8%,1234,5.8,26,625.0,1205.0,69.4,0.0947
Indian Agricultural Research Institute,India,Asia,1235 Top 5.8%,1235,5.8,27,1256.0,1459.0,69.4,0.0947
Metropolitan Autonomous University,Mexico,America,1236 Top 5.8%,1236,5.8,6,1729.0,1191.0,69.3,0.0917
University of Jaén,Spain,Europe,1237 Top 5.8%,1237,5.8,41,1399.76,1192.0,69.3,0.0917
Shenyang Agricultural University,China,Asia,1238 Top 5.8%,1238,5.8,221,1158.93,1193.0,69.3,0.0917
Jikei University,Japan,Asia,1239 Top 5.8%,1239,5.8,51,1263.67,1194.0,69.3,0.0917
Chuo University,Japan,Asia,1240 Top 5.8%,1240,5.8,52,81.0,1865.0,69.3,0.0917
Huzhou University,China,Asia,1241 Top 5.8%,1241,5.8,222,1142.47,1195.0,69.3,0.0917
Nippon Medical School,Japan,Asia,1242 Top 5.8%,1242,5.8,53,1125.2,1196.0,69.3,0.0917
Nagoya City University,Japan,Asia,1243 Top 5.8%,1243,5.8,54,921.0,1199.0,69.3,0.0917
Florida Institute of Technology,USA,America,1244 Top 5.8%,1244,5.8,230,866.0,1201.0,69.3,0.0917
Aligarh Muslim University,India,Asia,1245 Top 5.9%,1245,5.9,28,1722.0,1197.0,69.3,0.0917
Indian Institute of Technology Hyderabad,India,Asia,1246 Top 5.9%,1246,5.9,29,1496.6,1198.0,69.3,0.0917
National Defense Medical Center,Taiwan,Asia,1247 Top 5.9%,1247,5.9,16,1271.69,1200.0,69.3,0.0917
Yangtze University,China,Asia,1248 Top 5.9%,1248,5.9,223,1113.0,1204.0,69.3,0.0917
Gaziantep University,Turkey,Asia,1249 Top 5.9%,1249,5.9,16,1278.48,1202.0,69.3,0.0917
Keimyung University,South Korea,Asia,1250 Top 5.9%,1250,5.9,39,1705.0,1203.0,69.3,0.0917
Jordan University of Science and Technology,Jordan,Asia,1251 Top 5.9%,1251,5.9,1,1494.59,1206.0,69.3,0.0917
Gdańsk University of Technology,Poland,Europe,1252 Top 5.9%,1252,5.9,18,1333.0,1208.0,69.3,0.0917
University of the Sunshine Coast,Australia,Oceania,1253 Top 5.9%,1253,5.9,34,1252.25,1207.0,69.3,0.0917
Shenyang Pharmaceutical University,China,Asia,1254 Top 5.9%,1254,5.9,224,1213.19,1210.0,69.3,0.0917
South Dakota State University,USA,America,1255 Top 5.9%,1255,5.9,231,1023.37,1232.0,69.3,0.0917
Prince Sattam Bin Abdulaziz University,Saudi Arabia,Asia,1256 Top 5.9%,1256,5.9,6,1603.07,1211.0,69.2,0.0888
National Institute of Public Health (INSP),Mexico,America,1257 Top 5.9%,1257,5.9,7,1396.87,1212.0,69.2,0.0888
Brandenburg University of Technology,Germany,Europe,1258 Top 5.9%,1258,5.9,57,1167.0,1213.0,69.2,0.0888
Kunming Medical University,China,Asia,1259 Top 5.9%,1259,5.9,225,1265.25,1214.0,69.2,0.0888
"Birla Institute of Technology and Science, Pilani",India,Asia,1260 Top 5.9%,1260,5.9,30,387.0,1274.0,69.2,0.0888
Erciyes University,Turkey,Asia,1261 Top 5.9%,1261,5.9,17,1307.66,1215.0,69.2,0.0888
Institute of Mathematics of the National Academy of Sciences of Ukraine,Ukraine,Europe,1262 Top 5.9%,1262,5.9,1,508.73,966.5,69.2,0.0888
Howard University,USA,America,1263 Top 5.9%,1263,5.9,232,1104.76,1216.0,69.2,0.0888
K. N. Toosi University of Technology,Iran,Asia,1264 Top 5.9%,1264,5.9,18,1429.09,1217.0,69.2,0.0888
Sultan Qaboos University,Sultanate of Oman,Asia,1265 Top 5.9%,1265,5.9,1,1445.76,1218.0,69.2,0.0888
Isfahan University of Medical Sciences,Iran,Asia,1266 Top 5.9%,1266,5.9,19,1511.71,1219.0,69.2,0.0888
Federal University of Paraíba,Brazil,America,1267 Top 6%,1267,6.0,27,1417.16,1221.0,69.2,0.0888
Federal University of Espírito Santo,Brazil,America,1268 Top 6%,1268,6.0,28,1441.13,1222.0,69.2,0.0888
Conservatoire national des arts et métiers,France,Europe,1269 Top 6%,1269,6.0,51,1562.0,1224.0,69.2,0.0888
"University of Veterinary Medicine, Vienna",Austria,Europe,1270 Top 6%,1270,6.0,14,1287.46,1223.0,69.2,0.0888
Shandong University of Technology,China,Asia,1271 Top 6%,1271,6.0,226,1439.0,1225.0,69.2,0.0888
Education University of Hong Kong,China,Asia,1272 Top 6%,1272,6.0,227,1286.39,1227.0,69.2,0.0888
Silesian University of Technology,Poland,Europe,1273 Top 6%,1273,6.0,19,1644.0,1228.0,69.2,0.0888
Catholic University of America,USA,America,1274 Top 6%,1274,6.0,233,993.0,1235.0,69.2,0.0888
"Vietnam National University, Ho Chi Minh City",Vietnam,Asia,1275 Top 6%,1275,6.0,4,1538.13,1229.0,69.2,0.0888
Suzhou University of Science and Technology,China,Asia,1276 Top 6%,1276,6.0,228,1135.05,1231.0,69.1,0.0858
Autonomous University of San Luis Potosí,Mexico,America,1277 Top 6%,1277,6.0,8,1420.87,1233.0,69.1,0.0858
University of Technology of Belfort-Montbéliard,France,Europe,1278 Top 6%,1278,6.0,52,1410.85,1234.0,69.1,0.0858
Shanghai Maritime University,China,Asia,1279 Top 6%,1279,6.0,229,757.0,1251.0,69.1,0.0858
Foshan University,China,Asia,1280 Top 6%,1280,6.0,230,1068.29,1236.0,69.1,0.0858
King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,Asia,1281 Top 6%,1281,6.0,7,1384.5,1237.0,69.1,0.0858
University of Stavanger,Norway,Europe,1282 Top 6%,1282,6.0,7,1404.0,1238.0,69.1,0.0858
Ca' Foscari University of Venice,Italy,Europe,1283 Top 6%,1283,6.0,54,1358.0,1241.0,69.1,0.0858
